name,utc,duration
GRB161129A,2016-11-29T07:11:40.00,41.5
GRB161203A,2016-12-03T18:41:07.75,4.75
GRB161205A,2016-12-05T13:27:18.00,26.6
GRB161207A,2016-12-07T20:42:55.00,27.4
GRB161207B,2016-12-07T05:22:44.00,12.5
GRB161210A,2016-12-10T12:33:54.00,11.8
GRB161212A,2016-12-12T15:38:59.00,1.0
GRB161217B,2016-12-17T03:03:44.00,5.3
GRB161217C,2016-12-17T03:53:15.00,6.4
GRB161218A,2016-12-18T03:47:34.63,6.8
GRB161218B,2016-12-18T08:32:41.34,26.3
GRB161219B,2016-12-19T18:48:39.00,4.0
GRB161228A,2016-12-28T09:43:24.00,3.5
GRB161228B,2016-12-28T13:15:40.00,8.5
GRB161228C,2016-12-28T00:46:20.00,31.7
GRB161229A,2016-12-29T21:03:49.00,35.8
GRB161230A,2016-12-30T12:16:07.00,3.5
GRB170101A,2017-01-01T02:26:00.66,2.8
GRB170101B,2017-01-01T02:47:18.27,11.2
GRB170102A,2017-01-02T02:51:18.00,40.0
GRB170105A,2017-01-05T06:14:07.00,2.0
GRB170109A,2017-01-09T03:17:35.00,9.0
GRB170112B,2017-01-12T23:16:09.00,13.5
GRB170114A,2017-01-14T22:01:10.00,8.0
GRB170114B,2017-01-14T19:59:12.00,12.0
GRB170120A,2017-01-20T11:18:30.00,16.0
GRB170121A,2017-01-21T01:36:55.20,3.3
GRB170124A,2017-01-24T20:58:06.00,22.4
GRB170127C,2017-01-27T01:35:48.70,22.0
GRB170130A,2017-01-30T07:14:45.00,35.0
GRB170131A,2017-01-31T23:14:59.00,21.9
GRB170202B,2017-02-02T07:19:54.00,23.0
GRB170206A,2017-02-06T10:51:57.70,1.2
GRB170206C,2017-02-06T11:40:10.00,16.0
GRB170207A,2017-02-07T21:45:04.00,39.5
GRB170208C,2017-02-08T13:16:33.00,47.9
GRB170210A,2017-02-10T02:47:37.00,62.3
GRB170219A,2017-02-19T00:03:07.00,0.15
GRB170220A,2017-02-20T18:48:01.00,0.3
GRB170228B,2017-02-28T18:32:56.00,35.0
GRB170305A,2017-03-05T06:09:06.80,0.3
GRB170306B,2017-03-06T14:07:20.00,25.0
GRB170309A,2017-03-09T12:26:42.00,2.5
GRB170315A,2017-03-15T13:57:53.00,7.0
GRB170317A,2017-03-17T09:45:56.00,6.0
GRB170320A,2017-03-20T03:42:39.00,5.7
GRB170325B,2017-03-25T21:50:01.00,6.5
